ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
167,KATONG,8275.0,7788.0,7491,6938,1,1,1,1,0.4948309379779519,0.27934895650554575,0.5000258788696129,0.31285764256474446
168,TEBAN GARDENS,8338.0,7412.0,7549,6431,1,0,1,1,0.725904511685247,0.6660688129353209,0.6418096207490215,0.5702962806749116
169,PASIR RIS WEST,8357.0,8460.0,7262,7310,1,1,1,1,0.3878333349837151,0.4797065041805145,0.3998569346096347,0.499373854136166
170,BUKIT BATOK SOUTH,8437.0,7506.0,6907,6243,1,1,1,1,0.5917758512968282,0.5369484407592908,0.6185595596552426,0.5440203720430005
171,TELOK BLANGAH DRIVE,8437.0,7746.0,6883,6431,1,1,1,1,0.7551247002899496,0.6885705300609685,0.6878976706339903,0.7077236179808604
172,HONG KAH,8437.0,9285.0,7619,8396,1,1,1,1,0.4803131358072142,0.47274119604661824,0.38558275370436657,0.4058937758561895
173,YUHUA EAST,8437.0,8358.0,7619,7518,1,1,1,1,0.6883369411465797,0.7553119472191991,0.4955725485856359,0.7059249002812742
174,BUKIT MERAH,8437.0,8307.0,6883,6485,1,1,1,1,0.7874739166847268,0.9179754096473571,0.806989011295279,0.9160376072971019
175,SHANGRI-LA,8516.0,7028.0,7491,5813,1,0,1,0,0.5115546333656543,0.8512959812495912,0.4680818997072836,0.8035504651118668
176,HOUGANG EAST,8603.0,8343.0,7549,7148,1,1,1,1,0.1401265680117251,0.19561764093315484,0.11712758683362585,0.15725560316577547
177,CLEMENTI WOODS,8603.0,8307.0,7619,7148,1,1,1,1,0.46310786858439684,0.7736645257267034,0.4018637496244832,0.695119508121189
178,KANGKAR,8603.0,8798.0,7549,7692,1,1,1,1,0.20908587064535747,0.5699527139940673,0.2054360178449263,0.5087554734074882
179,FARRER COURT,8937.0,9239.0,7491,7775,1,1,1,1,0.6577700415612296,0.5017450616312468,0.7129051632295261,0.5339569956631162
180,ALEXANDRA HILL,9298.0,8778.0,7985,7518,1,1,1,1,0.7551943660865986,0.8244020049419392,0.781933760381437,0.7856567853429631
181,PUNGGOL TOWN CENTRE,9470.0,9474.0,8305,8632,1,1,1,1,0.19742349506396367,0.17645868349843377,0.19513514235231377,0.187541027240457
182,SERANGOON NORTH,9470.0,7469.0,7491,5957,1,0,1,0,0.2507754274399976,0.46358398663101424,0.21037023469554278,0.4646598794556422
183,MARYMOUNT,9470.0,10108.0,7993,8606,1,1,1,1,0.6043488559073092,0.6303053080020333,0.5412453089889598,0.6401004997453807
184,SERANGOON GARDEN,9470.0,10108.0,8093,8634,1,1,1,1,0.20029865159176063,0.6594523158228901,0.21553560141459394,0.5424773449093485
185,LORONG AH SOO,9470.0,9832.0,8289,8634,1,1,1,1,0.26151558782885825,0.49331693228865947,0.3064541433892129,0.30640541416925066
186,CHONG BOON,9470.0,10108.0,7993,8634,1,1,1,1,0.30213809180260554,0.6279242413221882,0.273038807933736,0.6139786507562062
187,TRAFALGAR,9470.0,10108.0,7993,8634,1,1,1,1,0.4472203773141942,0.3915825282770775,0.3174501405294892,0.2918360287502661
188,ANG MO KIO TOWN CENTRE,9470.0,10108.0,8289,8722,1,1,1,1,0.6858893766012063,0.9768687646141925,0.5052501731291577,0.961582744603456
189,PORT,9590.0,9061.0,6883,6485,1,1,1,1,0.31759210368271534,0.719971401508455,0.3473279638383276,0.6733156940214305
190,NATURE RESERVE,9791.0,10244.0,8257,8416,1,1,1,1,0.49480995256009785,0.4987617833153007,0.5107471532597415,0.4929891375580851
191,YISHUN CENTRAL,9899.0,10139.0,8880,9150,1,1,1,1,0.8840546200898887,0.998690607023417,0.9114206911903633,0.9999969962814943
192,SENJA,10123.0,10433.0,8257,8722,1,1,1,1,0.7364441688867649,0.22963567370323076,0.8255359445211128,0.21567571638938798
193,LORONG CHUAN,10123.0,10139.0,8213,8336,1,1,1,1,0.24503574766963643,0.27600986838641944,0.23239059809063525,0.2014017629102387
194,PASIR RIS DRIVE,10269.0,10727.0,8880,9150,1,1,1,1,0.515447778234932,0.2976448077283897,0.5055269173298524,0.27927970597293
195,FAJAR,10281.0,10510.0,8506,8722,1,1,1,1,0.25382388913881565,0.24396928649427047,0.19664508677405843,0.20634020503829414
196,NASSIM,10281.0,10727.0,8506,8847,1,1,1,1,0.5500267881319767,0.427639175378945,0.5047960646807639,0.4180514731070017
197,MARINE PARADE,10281.0,10727.0,8880,9217,1,1,1,1,0.6313122455465162,0.5879983974693578,0.6268561846175081,0.5771561977441081
198,TYERSALL,10281.0,10510.0,8869,8847,1,1,1,1,0.6508497255568618,0.4165382165993986,0.5568960966316987,0.39265264619413465
199,CORONATION ROAD,10281.0,10727.0,8506,8632,1,1,1,1,0.4492616545584619,0.33743289917231784,0.5103002320458415,0.3493915379637123
200,TANJONG RHU,10281.0,10510.0,9543,9522,1,1,1,1,0.35648038456949094,0.3564936478786152,0.24016798728934463,0.3050323261284448
201,CLEMENTI CENTRAL,10304.0,10510.0,8506,8681,1,1,1,1,0.9190722991152679,0.994951567321437,0.9116816417237783,0.9665981046444552
202,PASIR PANJANG 1,10304.0,10510.0,8506,8396,1,1,1,1,0.5018110329336871,0.8124358570663804,0.456479022344367,0.813123193087892
203,HOLLAND ROAD,10304.0,10782.0,8506,8681,1,1,1,1,0.5041046095371844,0.49962935306222067,0.5397548011396955,0.5247013633362001
204,LEEDON PARK,10304.0,10441.0,8506,8681,1,1,1,1,0.4924094503644749,0.5830605116822832,0.5602071290208323,0.592357832066331
205,SAUJANA,10304.0,10727.0,8519,9211,1,1,1,1,0.13929237358918142,0.14736226031183333,0.13586526165413967,0.13277486582110606
