ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
168,MARGARET DRIVE,0.273149909508704,0.255972360000347,0.267984393014793,0.282354904039695
169,GHIM MOH,0.18702258870058,0.207016529650731,0.21056749788025,0.233861316580702
170,TYERSALL,0.290442817458925,0.348862871882607,0.310386593383636,0.354035237846492
171,CORONATION ROAD,0.272078712181953,0.307143732052849,0.259481003108633,0.294635566955603
172,FARRER COURT,0.277061645440892,0.297123513253529,0.286163227544873,0.316363370373959
173,PANDAN,0.157562180040723,0.109804206801121,0.110107485059665,0.099894214919665
174,FABER,0.219412441304876,0.136678746403638,0.211240876924563,0.135905912481261
175,QUEENSWAY,0.241659013201695,0.200955380134573,0.263729038067959,0.18513505757713
176,WEST COAST,0.122872285027706,0.159333755666614,0.095008983311577,0.138461012847843
177,ULU PANDAN,0.139554849384282,0.189642713723872,0.136093258078303,0.230946316929306
178,RIDOUT,0.193686907764022,0.219356647522881,0.211445503790484,0.213046960656662
179,PORT,0.326623239325062,0.251469632283218,0.280411603130584,0.214364065717835
180,SUNSET WAY,0.172824386090479,0.132422950498499,0.180242981655576,0.142992298630214
181,DUNEARN,0.253107394482212,0.235729100580932,0.245767623085723,0.246911034081239
182,KENT RIDGE,0.176851862135259,0.164193131509088,0.154396141230162,0.130190684691437
183,CHOA CHU KANG CENTRAL,0.674572852791628,0.6779201653781,0.685715262748625,0.689364767002467
184,JELEBU,0.469451790118372,0.504127862397586,0.486059402202994,0.512496420966953
185,TECK WHYE,0.359876735115676,0.340660780337234,0.35353924249409,0.332345558390513
186,SAUJANA,0.17619432261599,0.151753303588911,0.169031628175889,0.150203707596055
187,YEW TEE,0.434722719354608,0.475642743480536,0.431033586042549,0.460769083501882
188,BANGKIT,0.318705451917224,0.332278910846909,0.310725238970646,0.332691837553324
189,PENG SIANG,0.238600530350925,0.239048029634787,0.245664035579525,0.251090518547398
190,KEAT HONG,0.239664764894925,0.308134119025671,0.232040896069279,0.303413886538289
191,FAJAR,0.191230213271712,0.184592029192672,0.181022323979379,0.170428887595713
192,SENJA,0.187517500817508,0.296989853269567,0.188002045644031,0.332604775460758
193,CHOA CHU KANG NORTH,0.034644237726643,0.063234843170282,0.033714868240998,0.055775515711506
194,DAIRY FARM,0.204568121714117,0.259953484620937,0.185430191738565,0.228196578093994
195,LIM CHU KANG,0.110803174565667,0.079026494709611,0.139524168444696,0.129180690288279
196,WOODLANDS REGIONAL CENTRE,0.736436525368445,0.751797446845186,0.738551976507141,0.744931953021342
197,WOODLANDS EAST,0.623450559332085,0.63450199698072,0.577142433792169,0.596583749068207
198,WOODLANDS WEST,0.32590622958198,0.51953376463237,0.326363259313114,0.521783934512902
199,MIDVIEW,0.219708659374783,0.178894456711889,0.211511694102381,0.175392140384715
200,NORTH COAST,0.287620896008019,0.276291669040301,0.29147484536465,0.292936009978893
201,WOODLANDS SOUTH,0.173119079102936,0.125147021113328,0.164631182822179,0.107942406584137
202,TURF CLUB,0.448543498560194,0.395832785188227,0.48119375138535,0.433150763616336
203,WOODGROVE,0.276911892803601,0.191139558010993,0.286176070552043,0.194979753687638
204,SENOKO SOUTH,0.193491702691654,0.2097235555667,0.186721451015643,0.191983791704847
